City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
222,inirida,3.8653,-67.9239,295.97,97,85,1.06,CO,1711790929
223,amasra,41.7463,32.3863,296.18,54,100,2.23,TR,1711790839
224,qarazhal,48.0078,70.7903,274.18,81,100,7.67,KZ,1711791091
225,copiapo,-27.3667,-70.3333,288.98,68,8,0.55,CL,1711790953
226,dudinka,69.4058,86.1778,265.19,92,97,4.02,RU,1711791092
227,leh,34.1667,77.5833,274.22,80,100,2.59,IN,1711791092
228,salahonda,2.1019,-78.7217,299.43,81,96,1.1,CO,1711791092
229,bikenibeu village,1.3673,173.1241,301.13,89,20,5.66,KI,1711791092
230,lompoc,34.6391,-120.4579,284.38,94,100,2.06,US,1711790998
231,tazovsky,67.4667,78.7,262.39,86,100,0.31,RU,1711791093
232,mil'kovo,55.6078,37.7956,285.56,62,48,5.56,RU,1711791093
233,al qadarif,14.0349,35.3834,310.87,11,69,3.79,SD,1711791093
234,vila do maio,15.1333,-23.2167,296.59,71,64,7.96,CV,1711791093
235,mga,59.75,31.0667,282.11,69,86,4.73,RU,1711791093
236,cidreira,-30.1811,-50.2056,293.0,84,2,1.96,BR,1711791094
237,sungai penuh,-2.0833,101.3833,295.89,91,98,0.42,ID,1711791094
238,changping,40.2186,116.2197,292.95,16,100,0.66,CN,1711791094
239,opuwo,-18.0607,13.84,301.65,44,84,3.22,NA,1711791094
240,vila velha,-20.3297,-40.2925,298.12,88,20,1.54,BR,1711790944
241,holualoa,19.6228,-155.9522,295.06,90,100,3.6,US,1711791094
242,mokhsogollokh,61.4681,128.9203,259.39,73,100,1.55,RU,1711791095
243,olyokminsk,60.3736,120.4264,259.9,88,100,1.32,RU,1711791095
244,flin flon,54.7682,-101.865,266.39,97,100,1.7,CA,1711791095
245,safi,32.1667,-8.8333,286.53,77,87,13.12,MA,1711790882
246,karratha,-20.7377,116.8463,304.62,41,0,4.95,AU,1711791096
247,luau,-10.7073,22.2247,291.99,97,100,2.41,AO,1711791096
248,tumayr,25.7039,45.868,298.57,22,90,8.05,SA,1711791096
249,bayanaul,50.7889,75.6956,277.69,50,100,9.84,KZ,1711791096
250,pisco,-13.7,-76.2167,294.18,88,65,1.54,PE,1711791096
251,tamiahua,21.2667,-97.45,295.92,82,100,4.0,MX,1711791097
252,ordynskoye,54.3656,81.8994,275.58,98,100,4.97,RU,1711791097
253,hobyo,5.3505,48.5268,303.58,57,45,7.06,SO,1711791097
254,nelson bay,-32.7167,152.15,295.37,89,0,2.68,AU,1711791097
255,sao vicente,-23.9631,-46.3919,298.25,26,93,1.93,BR,1711790583
256,port elizabeth,-33.918,25.5701,299.87,75,20,7.2,ZA,1711791044
257,santa cruz,-17.8,-63.1667,296.85,94,75,1.54,BO,1711791002
258,enewetak,11.3474,162.3373,300.08,85,74,9.84,MH,1711791098
259,paragould,36.0584,-90.4973,289.11,66,2,2.24,US,1711791098
260,kavieng,-2.5744,150.7967,301.43,77,57,3.37,PG,1711791098
261,severnoye,56.3491,78.3619,274.25,98,85,2.68,RU,1711791098
262,kapuskasing,49.4169,-82.4331,266.2,79,100,2.06,CA,1711791098
263,marshfield,44.6689,-90.1718,274.12,86,100,2.57,US,1711790905
264,yaren,-0.5472,166.916,301.33,83,62,7.11,NR,1711791099
265,alofi,-19.0595,-169.9187,298.09,94,93,0.51,NU,1711791099
266,sitka,57.0531,-135.33,278.09,75,100,3.09,US,1711791099
267,hadibu,12.65,54.0333,302.45,59,29,6.55,YE,1711791099
